"Countries, territories and areas",Beverage Types,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Montenegro,Spirits,2.31,2.29,2.25,2.2,,,,,,
Montenegro,Other alcoholic beverages,0.18,0.23,0.22,0.21,,,,,,
North Macedonia,All types,3.67,4.02,3.84,3.79,4.24,4.98,5.18,4.67,4.4,4.49
North Macedonia,Beer,1.7,2.04,2.02,1.98,1.98,2.03,2.03,1.97,1.96,2.12
North Macedonia,Wine,1.07,1.07,0.86,0.86,1.46,1.48,1.66,1.19,0.89,0.76
North Macedonia,Spirits,0.87,0.89,0.93,0.92,0.78,1.45,1.47,1.48,1.53,1.6
North Macedonia,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Norway,All types,6.68,6.75,6.6,6.47,6.37,6.22,6.04,5.89,5.49,5.67
Norway,Beer,2.96,3.06,3.02,3.01,2.98,2.96,2.76,2.89,2.82,2.93
Norway,Wine,2.28,2.23,2.11,2.05,2.0,1.9,1.84,1.81,1.6,1.62
Norway,Spirits,1.31,1.33,1.35,1.3,1.28,1.25,1.22,1.12,1.0,1.05
Norway,Other alcoholic beverages,0.13,0.13,0.12,0.11,0.11,0.11,0.22,0.07,0.07,0.07
Poland,All types,10.17,10.8,10.39,9.74,9.07,9.19,9.06,8.02,7.74,8.4
Poland,Beer,5.39,5.59,5.55,5.21,4.84,4.66,4.51,4.31,4.08,4.14
Poland,Wine,0.99,1.18,1.27,1.3,1.24,1.53,1.64,1.64,1.56,1.78
Poland,Spirits,3.78,4.03,3.57,3.22,3.0,3.01,2.9,2.07,2.09,2.48
Poland,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,All types,11.5,11.47,11.54,11.81,11.97,12.26,12.22,12.5,12.63,12.77
Portugal,Beer,3.04,3.1,3.16,3.21,3.27,3.32,3.22,3.22,3.28,3.45
Portugal,Wine,6.46,6.14,5.99,6.26,6.37,6.43,6.49,6.44,6.51,6.52
Portugal,Spirits,1.63,1.85,2.01,2.01,2.01,2.13,2.13,2.46,2.46,2.41
Portugal,Other alcoholic beverages,0.38,0.38,0.38,0.33,0.33,0.38,0.38,0.38,0.38,0.38
Romania,All types,11.01,12.38,11.06,9.89,9.63,11.77,11.55,13.15,12.07,9.0
Romania,Beer,5.19,5.74,5.62,4.64,4.08,4.25,3.65,3.4,3.32,3.38
Romania,Wine,3.33,3.67,3.43,3.0,2.34,4.3,3.34,3.93,3.74,3.42
Romania,Spirits,2.49,2.96,2.01,2.25,3.21,3.23,4.57,5.82,5.01,2.21
Romania,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,All types,11.13,11.87,10.96,10.89,11.06,10.52,10.23,11.16,11.12,11.33
Slovakia,Beer,3.91,3.8,3.93,3.83,3.85,3.99,4.38,4.54,4.32,4.48
Slovakia,Wine,2.13,2.02,1.79,2.15,1.56,1.81,1.83,1.96,1.85,1.74
Slovakia,Spirits,4.62,5.58,4.89,4.31,5.41,4.23,3.65,4.29,4.57,4.86
Slovakia,Other alcoholic beverages,0.47,0.47,0.36,0.6,0.24,0.48,0.37,0.37,0.37,0.25
Slovenia,All types,10.52,10.94,11.02,12.26,11.19,10.01,11.55,9.87,11.58,12.8
Slovenia,Beer,5.09,5.16,5.7,5.7,4.7,4.51,4.51,4.32,4.65,5.13
Slovenia,Wine,4.55,4.58,4.08,5.43,5.22,4.18,5.46,3.86,5.07,5.82
Slovenia,Spirits,0.88,1.2,1.24,1.13,1.09,1.11,1.58,1.69,1.87,1.84
Slovenia,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.19,0.2,0.0,0.0,0.0,0.01
Spain,All types,9.99,10.24,11.05,11.86,11.92,11.32,11.04,10.41,12.01,11.61
Spain,Beer,4.98,4.92,5.09,5.15,4.98,4.08,4.1,3.82,3.89,3.78
Spain,Wine,2.28,2.44,2.78,3.43,3.67,3.87,3.8,4.0,4.18,4.51
Spain,Spirits,2.73,2.88,3.18,3.28,3.27,3.37,3.15,2.59,3.93,3.33
Spain,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,All types,7.31,7.02,6.98,6.81,6.53,6.51,6.88,6.88,6.5,6.2
Sweden,Beer,2.74,2.7,2.73,2.72,2.61,2.6,2.77,2.75,2.61,2.7
Sweden,Wine,3.31,3.09,3.04,2.86,2.71,2.68,2.71,2.62,2.4,2.2
