"Countries, territories and areas",Beverage Types,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Ireland,Wine,1.54,1.35,1.2,1.08,0.97,0.9,0.86,0.8,0.74,0.71,0.68,0.65,0.59,0.58,0.6,0.57,0.55,0.59,0.62,0.62
Ireland,Spirits,2.69,2.45,2.34,2.36,2.12,2.14,2.3,2.18,2.33,2.33,2.36,2.38,2.25,2.41,2.56,2.14,2.0,2.37,2.72,2.94
Ireland,Other alcoholic beverages,,0.71,0.68,0.69,0.61,0.62,0.66,0.63,0.67,0.68,0.68,0.69,0.65,0.69,0.75,0.62,0.58,0.67,0.79,0.85
Italy,All types,8.86,8.98,9.12,9.13,9.62,10.12,10.27,10.55,10.82,10.99,10.95,11.41,11.76,12.37,13.22,14.08,14.55,14.5,15.07,16.73
Italy,Beer,1.58,1.57,1.49,1.41,1.49,1.54,1.48,1.53,1.48,1.5,1.31,1.42,1.43,1.43,1.37,1.19,1.32,1.31,1.15,1.07
Italy,Wine,6.6,6.67,6.88,6.98,7.19,7.57,7.64,7.87,8.12,8.22,8.27,8.5,8.89,9.39,10.29,11.2,11.49,11.48,12.13,13.15
Italy,Spirits,0.58,0.7,0.7,0.7,0.94,1.06,1.06,1.18,1.19,1.19,1.32,1.46,1.47,1.48,1.62,1.63,1.64,1.78,1.79,2.44
Latvia,All types,8.84,8.94,8.36,8.37,9.08,9.59,7.95,6.88,6.74,6.72,7.51,6.27,5.75,7.79,10.85,12.35,12.33,12.43,12.79,13.03
Latvia,Beer,2.11,1.61,1.62,1.65,1.74,1.27,1.22,1.25,1.15,1.01,1.44,1.69,1.46,1.36,1.68,2.01,2.47,2.43,2.4,2.35
Latvia,Wine,1.25,1.13,0.84,1.06,1.01,1.64,1.59,1.25,1.27,1.39,1.44,1.14,1.05,1.19,2.34,2.59,2.6,2.96,3.16,3.35
Latvia,Spirits,5.48,6.21,5.9,5.66,6.33,6.68,5.14,4.38,4.32,4.31,4.16,3.5,3.26,5.15,6.55,7.5,7.1,6.75,6.87,6.92
Latvia,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.28,0.25,0.16,0.3,0.35,0.41
Lithuania,All types,6.75,6.35,7.34,7.13,6.09,3.62,3.88,3.97,8.03,7.05,8.14,7.11,6.22,8.04,11.56,13.01,,,,
Lithuania,Beer,3.42,2.91,2.5,2.1,2.08,2.21,2.17,2.12,2.46,2.62,,,,,,,,,,
Lithuania,Wine,1.12,0.95,0.89,1.26,0.55,0.25,0.39,0.25,0.63,0.31,,,,,,,,,,
Lithuania,Spirits,2.16,2.43,3.92,3.75,3.44,1.16,1.31,1.59,4.94,4.11,,,,,,,,,,
Lithuania,Other alcoholic beverages,0.05,0.06,0.03,0.02,0.02,0.0,0.02,0.01,0.0,0.0,,,,,,,,,,
Luxembourg,All types,12.92,12.88,13.03,13.31,13.61,13.61,13.74,14.18,14.26,15.03,15.21,15.11,15.23,15.3,15.74,15.9,16.61,16.84,17.04,17.57
Luxembourg,Beer,4.98,4.7,4.77,4.87,4.98,5.03,4.96,5.39,5.31,5.56,5.51,5.46,5.48,5.62,5.6,5.64,5.87,5.9,5.9,5.9
Luxembourg,Wine,5.4,5.47,5.56,5.62,5.81,5.75,5.89,5.95,6.11,6.72,6.99,6.98,7.04,6.97,7.38,7.57,7.87,7.99,8.09,8.32
Luxembourg,Spirits,2.54,2.71,2.71,2.82,2.82,2.84,2.89,2.84,2.84,2.76,2.71,2.67,2.71,2.71,2.76,2.68,2.86,2.95,3.06,3.36
Luxembourg,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
North Macedonia,All types,5.03,6.24,5.53,5.68,6.63,7.54,5.09,7.0,,,,,,,,,,,,
North Macedonia,Beer,1.92,2.01,1.69,2.01,1.98,2.27,2.39,2.68,,,,,,,,,,,,
North Macedonia,Wine,0.96,1.07,1.08,1.12,1.17,1.81,1.73,2.01,,,,,,,,,,,,
North Macedonia,Spirits,2.15,3.15,2.76,2.54,3.48,3.46,0.97,2.31,,,,,,,,,,,,
North Macedonia,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Norway,All types,5.45,5.24,5.28,5.04,4.79,4.74,4.55,4.67,4.9,4.99,5.08,5.26,5.38,5.27,5.22,4.98,4.85,4.83,5.32,5.98
Norway,Beer,2.84,3.17,2.95,2.88,2.75,2.75,2.67,2.76,2.85,2.81,2.78,2.84,2.82,2.83,2.63,2.65,2.57,2.69,2.57,2.77
Norway,Wine,1.49,1.23,1.28,1.12,1.04,0.99,0.92,0.91,0.93,0.95,0.97,0.97,0.93,0.83,0.82,0.71,0.65,0.57,0.69,0.75
Norway,Spirits,1.05,1.03,1.01,1.02,1.0,1.0,0.96,1.0,1.12,1.24,1.33,1.45,1.63,1.61,1.77,1.62,1.63,1.57,2.06,2.46
Norway,Other alcoholic beverages,0.06,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,All types,8.22,8.32,8.51,7.91,8.01,8.31,8.39,8.27,8.63,8.16,9.33,9.52,9.41,9.18,8.5,8.31,8.25,8.54,11.21,10.66
Poland,Beer,3.74,3.4,3.16,2.74,2.52,2.37,2.16,2.55,2.47,2.02,2.03,2.0,1.94,1.92,1.73,1.78,1.84,1.84,1.94,1.98
Poland,Wine,1.86,1.9,1.79,1.45,0.97,0.99,1.08,1.1,1.25,1.08,1.22,1.33,1.29,1.24,1.3,1.21,0.98,1.16,1.56,1.51
Poland,Spirits,2.62,3.02,3.56,3.72,4.52,4.95,5.15,4.62,4.91,5.06,6.08,6.2,6.18,6.02,5.47,5.32,5.43,5.54,7.71,7.18
Poland,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Portugal,All types,13.18,12.48,12.58,12.84,13.59,14.05,14.17,14.36,14.78,15.21,14.64,12.92,12.35,13.49,13.93,16.37,15.88,16.99,15.38,14.91
Portugal,Beer,3.89,3.8,3.88,3.87,3.92,4.05,3.9,3.94,4.07,4.1,4.23,4.01,3.36,3.0,2.49,2.46,2.31,2.53,2.48,2.94
Portugal,Wine,6.72,7.16,7.22,7.53,8.16,8.43,8.6,8.82,9.07,9.33,9.48,8.0,8.21,9.84,10.9,13.5,13.16,14.04,12.48,11.54
Portugal,Spirits,1.81,0.71,0.71,0.7,0.72,0.78,0.86,0.85,0.85,0.92,0.92,0.91,0.79,0.66,0.54,0.41,0.42,0.42,0.42,0.43
Portugal,Other alcoholic beverages,0.76,0.81,0.77,0.75,0.79,0.79,0.81,0.76,0.79,0.86,0.72,0.69,0.86,0.93,1.08,1.13,1.15,1.07,0.97,0.77
Romania,All types,7.66,7.28,8.74,8.05,8.2,7.84,9.01,8.81,8.91,8.92,8.67,10.4,10.29,10.31,10.09,10.14,10.21,10.28,10.48,10.91
Romania,Beer,3.09,2.76,2.12,2.24,2.46,2.64,2.76,2.78,2.71,2.89,3.34,3.36,0.38,3.19,2.95,2.94,3.02,3.04,3.06,2.99
Romania,Wine,3.52,3.37,4.72,3.8,3.73,3.27,3.87,3.12,3.31,3.17,2.44,4.06,4.06,4.07,4.09,4.11,4.14,4.17,4.32,4.34
Romania,Spirits,1.05,1.15,1.9,2.01,2.01,1.93,2.38,2.91,2.89,2.86,2.63,2.63,2.64,2.64,2.65,2.67,2.69,2.71,2.72,3.14
Romania,Other alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Slovakia,All types,12.13,12.13,13.09,12.86,12.55,13.02,12.04,12.63,13.24,,12.7,12.77,13.24,13.3,13.82,14.33,14.85,15.2,15.02,14.93
Slovakia,Beer,5.36,5.37,5.87,5.78,5.65,6.08,5.91,6.08,6.09,6.4,6.32,6.51,6.54,6.88,6.72,7.62,8.13,8.03,7.74,7.82
Slovakia,Wine,1.76,1.84,2.0,1.95,1.86,1.99,2.06,2.19,2.36,2.34,2.1,2.07,2.42,2.13,2.6,2.55,2.46,2.41,2.76,2.71
Slovakia,Spirits,5.01,4.92,5.22,5.13,5.04,4.95,4.07,4.36,4.79,4.75,4.28,4.19,4.28,4.29,4.5,4.16,4.26,4.76,4.52,4.4
