"Countries, territories and areas",Beverage Types, 1979, 1978, 1977, 1976, 1975, 1974, 1973, 1972, 1971, 1970, 1969, 1968, 1967, 1966, 1965, 1964, 1963, 1962, 1961, 1960
Slovakia, All types,13.57,13.59,14.85,13.66,14.7,13.51,13.68,13.64,14.25,12.71,12.05,11.16,10.81,11.18,11.03,10.21,9.35,9.44,9.28,
Slovakia, Beer,6.86,6.1,7.56,7.09,7.71,7.51,7.89,8.13,8.32,7.2,6.94,6.72,6.46,6.87,6.75,6.42,6.0,5.7,5.45,
Slovakia, Wine,2.54,2.87,2.81,2.71,2.99,2.5,2.39,2.41,2.51,2.43,2.21,2.04,2.4,2.55,2.77,2.45,1.94,2.21,2.42,
Slovakia, Spirits,4.17,4.62,4.48,3.86,4.0,3.5,3.4,3.1,3.42,3.08,2.9,2.4,1.95,1.76,1.51,1.34,1.41,1.53,1.41,
Spain, All types,17.71,18.28,17.07,17.93,18.53,18.38,17.98,16.33,15.11,15.25,15.22,14.91,14.54,16.03,14.59,13.88,13.56,14.64,,
Spain, Beer,3.68,3.58,3.23,3.3,3.25,3.06,2.95,2.5,2.48,2.67,2.22,2.28,2.1,1.82,1.61,1.49,1.27,1.05,,
Spain, Wine,9.79,10.58,9.85,10.77,11.55,11.72,11.43,10.22,9.16,9.39,9.53,9.45,9.26,10.08,9.54,9.5,9.81,10.49,,
Spain, Spirits,4.24,4.12,3.99,3.86,3.73,3.6,3.6,3.61,3.47,3.19,3.47,3.18,3.18,4.13,3.44,2.89,2.48,3.1,,
Sweden, All types,8.08,8.06,8.41,8.78,8.69,8.46,7.94,8.05,7.77,7.86,7.75,7.22,6.96,6.75,6.56,6.36,6.03,6.1,6.04,
Sweden, Beer,3.01,3.06,3.37,3.72,3.8,3.68,3.57,3.63,3.63,3.63,3.68,3.26,2.87,2.74,2.56,2.49,2.48,2.3,2.35,
Sweden, Wine,1.29,1.25,1.31,1.18,1.15,1.07,1.01,1.1,0.97,0.89,0.81,0.74,0.69,0.64,0.6,0.59,0.54,0.58,0.55,
Sweden, Spirits,3.78,3.75,3.73,3.88,3.74,3.71,3.36,3.32,3.17,3.34,3.26,3.22,3.4,3.37,3.4,3.28,3.01,3.22,3.14,
Switzerland, All types,14.06,14.16,14.04,13.96,14.28,15.24,15.63,15.02,14.77,14.79,14.65,14.23,14.19,14.22,,,,,,
Switzerland, Beer,4.28,4.3,4.35,4.56,4.63,4.88,4.92,4.8,5.08,5.15,5.03,4.94,5.15,5.09,,,,,,
Switzerland, Wine,6.9,6.9,6.8,6.64,6.79,7.15,7.26,6.95,6.56,6.6,6.45,6.22,6.32,6.15,,,,,,
Switzerland, Spirits,2.56,2.63,2.55,2.36,2.48,2.8,3.02,2.82,2.67,2.57,2.68,2.53,2.27,2.43,,,,,,
Switzerland, Other alcoholic beverages,0.32,0.33,0.35,0.4,0.39,0.4,0.43,0.44,0.45,0.47,0.49,0.54,0.45,0.55,,,,,,
Ukraine, All types,,,,,7.48,,,,,,,,,,,,,,,
Ukraine, Beer,,,,,1.71,,,,,,,,,,,,,,,
Ukraine, Wine,,,,,2.39,,,,,,,,,,,,,,,
Ukraine, Spirits,,,,,3.38,,,,,,,,,,,,,,,
