LOCATION,BEVERAGE TYPES,TIME,VALUE
Switzerland, All types, 1973,15.63
Switzerland, Beer, 1973,4.92
Switzerland, Wine, 1973,7.26
Switzerland, Spirits, 1973,3.02
Switzerland, Other alcoholic beverages, 1973,0.43
Ukraine, All types, 1973,
Ukraine, Beer, 1973,
Ukraine, Wine, 1973,
Ukraine, Spirits, 1973,
Albania, All types, 1972,1.56
Albania, Beer, 1972,0.52
Albania, Wine, 1972,0.23
Albania, Spirits, 1972,0.82
Austria, All types, 1972,14.2
Austria, Beer, 1972,7.0
Austria, Wine, 1972,5.4
Austria, Spirits, 1972,1.8
Belgium, All types, 1972,13.0
Belgium, Beer, 1972,8.7
Belgium, Wine, 1972,2.23
Belgium, Spirits, 1972,2.07
Bulgaria, All types, 1972,9.18
Bulgaria, Beer, 1972,2.6
Bulgaria, Wine, 1972,3.27
Bulgaria, Spirits, 1972,3.31
Czechia, All types, 1972,12.66
Czechia, Beer, 1972,7.57
Czechia, Wine, 1972,2.04
Czechia, Spirits, 1972,3.05
Denmark, All types, 1972,10.1
Denmark, Beer, 1972,7.03
Denmark, Wine, 1972,1.07
Denmark, Spirits, 1972,2.0
Finland, All types, 1972,6.8
Finland, Beer, 1972,3.04
Finland, Wine, 1972,0.76
Finland, Spirits, 1972,1.39
Finland, Other alcoholic beverages, 1972,1.61
France, All types, 1972,21.2
France, Beer, 1972,2.67
France, Wine, 1972,15.58
France, Spirits, 1972,2.95
Germany, All types, 1972,16.25
Germany, Beer, 1972,9.43
Germany, Wine, 1972,3.02
Germany, Spirits, 1972,3.8
Greece, All types, 1972,10.43
Greece, Beer, 1972,2.54
Greece, Wine, 1972,4.5
Greece, Spirits, 1972,3.39
Hungary, All types, 1972,12.73
Hungary, Beer, 1972,3.6
Hungary, Wine, 1972,5.3
Hungary, Spirits, 1972,3.83
Iceland, All types, 1972,5.04
Iceland, Beer, 1972,1.07
Iceland, Wine, 1972,0.34
Iceland, Spirits, 1972,3.63
Iceland, Other alcoholic beverages, 1972,0.0
Ireland, All types, 1972,12.0
Ireland, Beer, 1972,8.34
Ireland, Wine, 1972,0.56
Ireland, Spirits, 1972,2.44
Ireland, Other alcoholic beverages, 1972,0.67
Italy, All types, 1972,19.49
Italy, Beer, 1972,0.8
Italy, Wine, 1972,16.18
Italy, Spirits, 1972,2.52
Luxembourg, All types, 1972,18.73
Luxembourg, Beer, 1972,6.05
Luxembourg, Wine, 1972,9.3
Luxembourg, Spirits, 1972,3.38
Norway, All types, 1972,5.3
Norway, Beer, 1972,2.72
Norway, Wine, 1972,0.39
Norway, Spirits, 1972,2.19
Poland, All types, 1972,8.7
Poland, Beer, 1972,2.43
Poland, Wine, 1972,1.03
Poland, Spirits, 1972,5.23
Portugal, All types, 1972,16.18
Portugal, Beer, 1972,1.96
Portugal, Wine, 1972,13.66
Portugal, Spirits, 1972,0.56
Portugal, Other alcoholic beverages, 1972,1.02
Romania, All types, 1972,8.97
Romania, Beer, 1972,1.63
Romania, Wine, 1972,4.35
Romania, Spirits, 1972,2.99
Slovakia, All types, 1972,13.64
Slovakia, Beer, 1972,8.13
Slovakia, Wine, 1972,2.41
Slovakia, Spirits, 1972,3.1
Spain, All types, 1972,16.33
Spain, Beer, 1972,2.5
Spain, Wine, 1972,10.22
Spain, Spirits, 1972,3.61
Sweden, All types, 1972,8.05
Sweden, Beer, 1972,3.63
Sweden, Wine, 1972,1.1
Sweden, Spirits, 1972,3.32
Switzerland, All types, 1972,15.02
Switzerland, Beer, 1972,4.8
Switzerland, Wine, 1972,6.95
Switzerland, Spirits, 1972,2.82
Switzerland, Other alcoholic beverages, 1972,0.44
Ukraine, All types, 1972,
Ukraine, Beer, 1972,
Ukraine, Wine, 1972,
Ukraine, Spirits, 1972,
Albania, All types, 1971,1.2
Albania, Beer, 1971,0.48
Albania, Wine, 1971,0.13
Albania, Spirits, 1971,0.59
Austria, All types, 1971,13.6
Austria, Beer, 1971,6.6
Austria, Wine, 1971,5.4
Austria, Spirits, 1971,1.6
Belgium, All types, 1971,12.62
