,Year,Country,Alcohol Consumption,Happiness,Social Support,Freedom To Make Life Choices,Generosity,Rank
156,2018,Italy,7.81,6.516526699,0.912656128,0.650009274,-0.025133574,15
157,2019,Italy,7.65,6.445416927,0.83840245,0.709478855,-0.086302891,17
158,2012,Latvia,10.2,5.125025272,0.851195216,0.563811779,-0.04164274,29
159,2013,Latvia,10.43,5.069770336,0.834022582,0.630507529,-0.076605313,29
160,2014,Latvia,10.6,5.729115486,0.881255507,0.670653164,-0.046703774,22
161,2015,Latvia,10.8,5.880597591,0.879372418,0.65639317,-0.081558466,20
162,2016,Latvia,11.3,5.940446377,0.917073965,0.685299277,-0.160982415,21
163,2017,Latvia,12.6,5.977817535,0.895098746,0.699520111,-0.158778444,24
164,2018,Latvia,13.2,5.901154041,0.913276315,0.608207643,-0.21648632,25
165,2019,Latvia,12.9,5.969753742,0.935501277,0.697935104,-0.198384285,26
166,2020,Latvia,12.1,6.229008675,0.928012192,0.820111692,-0.083579808,23
167,2021,Latvia,12.2,6.353090763,0.954086423,0.815278113,-0.101973705,22
168,2012,Lithuania,14.97,5.771037102,0.918690145,0.503027141,-0.276896715,23
169,2013,Lithuania,14.92,5.595689297,0.91251415,0.555815279,-0.240327045,22
170,2014,Lithuania,14.9,6.125723839,0.908239841,0.507947206,-0.267208517,17
171,2015,Lithuania,14.2,5.711378098,0.92852354,0.641470194,-0.257424742,25
172,2016,Lithuania,13.47,5.865552425,0.937873363,0.614239335,-0.27012518,23
173,2017,Lithuania,12.14,6.272940636,0.926316619,0.749307334,-0.177431226,17
174,2018,Lithuania,11.77,6.308878899,0.929350138,0.698945105,-0.240819216,17
175,2019,Lithuania,11.93,6.064097881,0.917577505,0.780266464,-0.255955368,22
176,2020,Lithuania,11.4,6.39137888,0.952544093,0.824060559,-0.127253518,22
177,2021,Lithuania,12.1,6.864572525,0.928175211,0.707402527,-0.119342811,12
178,2012,Luxembourg,11.67,6.964097023,0.913907707,0.916520953,0.049343392,10
179,2013,Luxembourg,11.25,7.130809307,0.916683257,0.789655447,-0.063244693,7
180,2014,Luxembourg,11.42,6.89112711,0.875469446,0.937987685,0.098004028,10
181,2015,Luxembourg,11.37,6.701571465,0.933604598,0.932256401,0.045660511,12
182,2016,Luxembourg,11.25,6.967340946,0.941260576,0.882365346,0.011960748,10
183,2017,Luxembourg,11.18,7.061380863,0.905435503,0.90282172,0.037715722,11
184,2018,Luxembourg,10.98,7.242630959,0.902192414,0.883929849,-0.026822932,8
185,2019,Luxembourg,11.0,7.404015541,0.912104547,0.930321217,-0.050124425,7
186,2012,Montenegro,9.37,5.218724251,0.704032779,0.46170637,-0.195966095,27
187,2013,Montenegro,9.62,5.074341774,0.735565186,0.502264977,-0.179485664,28
188,2014,Montenegro,8.55,5.282720566,0.862930357,0.50266552,0.09293133,27
189,2015,Montenegro,8.49,5.124921322,0.73963052,0.583317339,-0.147677779,30
190,2016,Montenegro,9.13,5.304066181,0.865743697,0.568633676,-0.091130361,30
191,2017,Montenegro,9.56,5.614798546,0.881199837,0.625906289,-0.086646661,27
192,2018,Montenegro,9.87,5.650189877,0.855979621,0.626431286,-0.054822855,28
193,2019,Montenegro,9.91,5.386024952,0.831624925,0.694162488,-0.108958878,31
194,2020,Netherlands,7.8,7.504447937,0.943956137,0.934522629,0.146807,5
195,2021,Netherlands,8.1,7.314151287,0.918759406,0.85629344,0.267292023,7
196,2012,Norway,6.21,7.678277016,0.947657406,0.946565866,0.141395047,2
197,2014,Norway,6.06,7.444470882,0.941161931,0.956316173,0.175213441,3
198,2015,Norway,5.97,7.603433609,0.946833968,0.947620511,0.251130641,1
199,2016,Norway,6.03,7.596331596,0.959742844,0.954352319,0.12709035,2
200,2017,Norway,6.0,7.578744888,0.950127661,0.953016818,0.230604947,3
201,2018,Norway,6.02,7.444262028,0.965961933,0.960429013,0.088390358,5
202,2019,Norway,6.05,7.442139626,0.941784024,0.954044461,0.105307363,5
203,2020,Norway,7.2,7.290032387,0.955979943,0.964561105,0.069376923,8
204,2021,Norway,7.4,7.361573696,0.947877407,0.936379194,0.167681649,5
205,2012,Poland,10.21,5.87593174,0.935923874,0.811301708,-0.029424023,21
206,2013,Poland,10.8,5.746131897,0.911934912,0.775931358,-0.13967891,21
207,2014,Poland,10.45,5.750282288,0.923642278,0.875357091,-0.067119926,21
208,2015,Poland,10.47,6.007021904,0.893090427,0.793462157,-0.096320622,19
209,2016,Poland,10.43,6.162076473,0.91739881,0.870707512,-0.0941898,17
210,2017,Poland,10.53,6.201268196,0.881854117,0.830842614,-0.125195861,19
211,2018,Poland,10.62,6.111485004,0.863444209,0.870215118,-0.258324355,21
212,2019,Poland,10.96,6.24209404,0.878268242,0.882885754,-0.234856516,19
213,2020,Poland,10.9,6.139455318,0.95317173,0.767428696,-0.011896272,24
214,2021,Poland,11.0,5.978068829,0.935534835,0.731805563,0.123874821,27
215,2012,Portugal,9.76,4.993962288,0.86603862,0.773821414,-0.100898668,32
216,2013,Portugal,9.52,5.157688141,0.867180824,0.78803277,-0.122254021,25
217,2014,Portugal,10.2,5.12691164,0.86182946,0.846810102,-0.130222365,31
218,2015,Portugal,10.34,5.080866337,0.866213858,0.800440311,-0.166943058,32
219,2016,Portugal,10.37,5.446637154,0.90463537,0.83806932,-0.22914277,27
220,2017,Portugal,10.37,5.711499214,0.899984837,0.905065656,-0.179761603,26
221,2018,Portugal,10.37,5.919822693,0.887113273,0.877404213,-0.265426725,24
222,2019,Portugal,10.37,6.095473289,0.876082599,0.8823511,-0.238181174,21
223,2012,Romania,9.66,5.166874886,0.740043104,0.644536138,-0.117408901,28
224,2013,Romania,9.65,5.081584454,0.777552068,0.654542148,-0.132834226,27
225,2014,Romania,9.48,5.726893425,0.75294137,0.754235506,-0.104587175,23
226,2015,Romania,9.45,5.777491093,0.786967337,0.795847714,-0.144942254,22
227,2016,Romania,9.57,5.96887064,0.809229195,0.8217206,-0.117664419,19
228,2017,Romania,10.14,6.089904785,0.811240137,0.838586688,-0.162952572,22
229,2018,Romania,10.96,6.150878906,0.81793046,0.84515959,-0.221662477,20
230,2019,Romania,10.96,6.129942417,0.841905951,0.84754318,-0.225549594,20
231,2012,Slovakia,10.14,5.91105938,0.925751448,0.620004296,-0.029893698,20
232,2013,Slovakia,9.9,5.936527252,0.909378529,0.597935796,-0.052728705,17
233,2014,Slovakia,10.26,6.1388731,0.924242675,0.634791732,-0.127440497,16
234,2015,Slovakia,10.27,6.162004471,0.94345367,0.587157667,-0.129930854,17
235,2016,Slovakia,9.91,5.993163109,0.945179105,0.700098515,-0.062600099,18
236,2017,Slovakia,9.69,6.365509033,0.913386643,0.714224696,-0.056424432,16
237,2018,Slovakia,10.05,6.23511076,0.922378719,0.757634044,-0.169438615,19
238,2019,Slovakia,10.3,6.243428707,0.933088303,0.771121562,-0.131159246,18
239,2020,Slovakia,10.2,6.519098282,0.954159975,0.76189661,-0.079218529,16
240,2021,Slovakia,9.6,6.418503761,0.951163888,0.74153322,0.045955859,21
241,2012,Slovenia,10.95,6.062891006,0.924753785,0.904386282,-0.023311013,17
242,2013,Slovenia,9.53,5.974888802,0.932119727,0.890059829,0.032069143,16
243,2014,Slovenia,10.92,5.678395271,0.908347547,0.887747705,0.048685588,24
244,2015,Slovenia,11.49,5.740642071,0.901163757,0.896007299,0.004144723,23
245,2016,Slovenia,10.51,5.936821461,0.934487343,0.903551102,-0.05846896,22
246,2017,Slovenia,10.12,6.166837692,0.928187847,0.920862675,-0.028787615,21
247,2018,Slovenia,9.99,6.249419212,0.940971196,0.942045867,-0.122956395,18
248,2019,Slovenia,11.05,6.665273666,0.949402273,0.945430517,-0.106444225,15
249,2020,Slovenia,9.8,6.462076187,0.953437507,0.958442569,-0.088533178,20
250,2021,Slovenia,10.6,6.761220932,0.955252588,0.851086736,0.027393518,14
251,2012,Spain,8.6,6.290690422,0.937023342,0.754586101,-0.063294187,16
252,2013,Spain,8.55,6.150027275,0.928640485,0.759356439,-0.105330877,14
253,2014,Spain,7.85,6.456477642,0.947864413,0.738472342,-0.032065324,15
254,2015,Spain,10.35,6.380663395,0.95647186,0.73200047,-0.076273702,15
255,2016,Spain,10.81,6.318612099,0.941736817,0.768173754,-0.052054416,16
256,2017,Spain,10.85,6.230173111,0.903158188,0.755560756,-0.0361076,18
257,2018,Spain,10.39,6.513370991,0.910314679,0.7222507,-0.078989901,16
258,2019,Spain,10.73,6.457449436,0.949013472,0.777966738,-0.052578475,16
259,2020,Spain,8.7,6.502175331,0.934934676,0.783256531,-0.124827951,18
260,2021,Spain,10.5,6.469611168,0.926416755,0.781794965,-0.074128382,19
261,2012,Sweden,7.23,7.560147762,0.929397464,0.944382191,0.128702626,4
262,2013,Sweden,7.32,7.434010506,0.915648043,0.935910523,0.155657694,5
263,2014,Sweden,7.2,7.239147663,0.932719827,0.945273399,0.19847782,6
264,2015,Sweden,7.13,7.28892231,0.929459989,0.935072064,0.20791176,7
265,2016,Sweden,7.15,7.368744373,0.912060678,0.918036401,0.142463297,7
266,2017,Sweden,7.04,7.286804676,0.914016783,0.934582114,0.166993141,8
267,2018,Sweden,7.2,7.374792099,0.93067956,0.941724658,0.07340049,7
268,2019,Sweden,7.1,7.398092747,0.93364507,0.941515207,0.08712472,8
269,2020,Sweden,7.5,7.314341068,0.93558234,0.951181591,0.085886888,6
270,2021,Sweden,7.6,7.439280033,0.931819558,0.953379214,0.174091205,4
271,2012,Switzerland,9.87,7.776208878,0.94686389,0.945428014,0.132032752,1
272,2014,Switzerland,9.62,7.492803574,0.958796322,0.949401438,0.053632557,2
